name,lat,lon
"서울특별시 중구 을지로 지하 42 (을지로1가, 을지로입구역 2호선)",37.56605874,126.982084
"서울특별시 중구 삼일대로6길 5, 조양빌딩신관 (충무로2가)",37.5624727,126.9897037
"서울특별시 중구 다산로 32 (신당동, 남산타운)",37.54901359,127.0092804
"서울특별시 중구 퇴계로12길 78 (회현동1가, 중구회현체육센터)",37.55620902,126.9815815
"서울특별시 중구 남대문로 39 (남대문로3가, 한국은행건물)",37.56215065,126.9799917
"서울특별시 중구 동호로5길 19 (신당동, 중구청소년수련관)",37.5518396,127.0125841
"서울특별시 중구 세종대로 110 (태평로1가, 서울시청)",37.56658548,126.9782037
"서울특별시 중구 퇴계로85길 지하 56 (황학동, 신당지하쇼핑센터)",37.56835678,127.0192851
"서울특별시 중구 퇴계로 지하 126 (충무로2가, 명동역 4호선)",37.56083992,126.9857352
"서울특별시 중구 을지로 지하 218 (을지로5가, 을지로4구역지하쇼핑)",37.56679827,127.0021877
"서울특별시 중구 다산로 32 (신당동, 남산타운)",37.54901359,127.0092804
"서울특별시 중구 다산로42나길 46 (신당동, 신당동 파라다이스 아파트)",37.56239474,127.0172824
"서울특별시 중구 다산로36길 109 (신당동, 현대아파트)",37.55997212,127.0217593
"서울특별시 중구 청파로 463 (중림동, 한국경제신문사빌딩)",37.56012808,126.9672067
"서울특별시 중구 을지로 지하 279 (을지로7가, 동대문역사문화공원역 2호선)",37.56577468,127.0085615
"서울특별시 중구 을지로 지하106, 을지로3가역 2호선 (을지로3가)",37.56620983,126.9902282
"서울특별시 중구 소공로 116 (소공동, 서울센타빌딩)",37.56484732,126.9789499
"서울특별시 중구 을지로 지하131, 을지로3구역지하쇼핑 (을지로3가)",37.56640803,126.9936318
"서울특별시 중구 남대문로 지하 72 (남대문로2가, 명동지하쇼핑센터)",37.56406701,126.982159
"서울특별시 중구 소공로 지하 58 (충무로1가, 회현지하쇼핑센터)",37.56084728,126.9814859
"서울특별시 중구 다산로 지하122, 약수역 3호선 (신당동)",37.55444767,127.0109906
"서울특별시 중구 을지로 지하 12 (을지로1가, 시청광장지하쇼핑센터)",37.56596664,126.9793679
"서울특별시 중구 을지로 지하58, 을지로입구지하쇼핑센터 (을지로2가)",37.5660451,126.9836642
서울특별시 중구 퇴계로 지하 431-1 (신당동),37.56543276,127.0200667
"서울특별시 중구 세종대로 지하 101 (정동, 시청역 1호선)",37.56560761,126.9769444
"서울특별시 중구 새문안로 16 (충정로1가, 농업협동조합중앙회건물)",37.56640676,126.968451
